Gene,Cluster
WARS,2
TMSB10,2
GBP2,1
SOD2,5
STAT1,5
CCL2,2
IFIT3,1
B2M,2
HLA.B,5
APOL6,5
PLEK,5
ACTG1,2
IFITM2,1
GBP1,0
TAP1,1
ISG15,1
LAP3,1
CD53,5
RAB31,5
TIMP1,5
GBP5,0
TUBA1B,5
NCF1C,1
PSME2,1
MT2A,1
TNFAIP2,1
TNFSF10,1
MTHFD2,1
ISG20,0
VIM,2
PSTPIP2,1
MALAT1,5
LCP1,2
TRIM22,0
CCL5,5
HLA.E,1
CDKN1A,1
CSF2RB,1
PIM1,1
ICAM1,1
CTSS,1
IFI6,0
PSMB9,1
LPCAT2,1
APOL2,1
CXCL10,0
CNDP2,1
LCP2,1
IFIT2,0
TANK,1
FCGR1A,0
SAT1,1
NAMPT,0
FTL,2
PTPRC,1
STK24,1
RTN4,5
TAPBP,1
FAM107B,1
PSMB10,1
PLSCR1,1
TNFSF13B,0
FYB1,0
RALA,1
NCF1,1
GDI2,1
SLC2A3,1
SUCNR1,1
TUBB,5
LACTB,1
SAMD9L,0
PHLDA1,1
ALOX5AP,5
IFI30,0
CEBPB,1
PMAIP1,1
A2M,1
SLC31A2,1
MSRB1,1
PSMB8,0
SRGN,1
TSC22D1,1
RHOQ,1
PARP9,0
TAP2,0
SQOR,0
CCL1,5
DAPP1,0
RNF213,0
CLIC4,0
GK,0
DUSP5,1
PAK1,1
S100A6,1
DDX21,1
PLAUR,0
IRF1,0
CA2,1
EMP1,1
HERPUD1,0
IFITM1,4
CYTOR,0
HMGN3,1
FCGR1B,0
SP110,0
LMNA,1
LITAF,1
EDEM1,0
TUBA1A,1
IFI16,0
SLC7A11,0
PSAT1,0
ATP6V1B2,0
HIF1A,0
ITGB7,0
LYSMD2,0
RPL6,5
GLUL,0
ATP6AP2,1
BHLHE40,1
MALT1,1
SQSTM1,1
PSAP,1
TMEM158,0
BST2,0
TRIB1,1
MB,1
XRN1,0
CD300A,1
CD69,1
ITGAX,0
