Gene,Cluster
WARS,2
TMSB10,2
GBP2,0
SOD2,0
STAT1,0
CCL2,2
IFIT3,1
B2M,2
HLA.B,0
APOL6,0
PLEK,0
ACTG1,2
IFITM2,1
GBP1,1
TAP1,1
ISG15,1
LAP3,1
CD53,0
RAB31,0
TIMP1,0
GBP5,1
TUBA1B,0
NCF1C,1
PSME2,1
MT2A,1
TNFAIP2,1
TNFSF10,1
MTHFD2,0
ISG20,1
VIM,2
PSTPIP2,1
MALAT1,0
LCP1,2
TRIM22,1
CCL5,0
HLA.E,1
CDKN1A,0
CSF2RB,1
PIM1,1
ICAM1,1
CTSS,1
IFI6,1
PSMB9,1
LPCAT2,1
APOL2,1
CXCL10,1
CNDP2,1
LCP2,1
IFIT2,1
TANK,1
FCGR1A,1
SAT1,1
NAMPT,1
FTL,2
PTPRC,1
STK24,1
RTN4,0
TAPBP,1
FAM107B,1
PSMB10,1
PLSCR1,1
TNFSF13B,1
FYB1,1
RALA,1
NCF1,1
GDI2,1
SLC2A3,1
SUCNR1,1
TUBB,0
LACTB,1
SAMD9L,1
PHLDA1,1
ALOX5AP,0
IFI30,1
CEBPB,1
PMAIP1,1
A2M,1
SLC31A2,1
MSRB1,1
PSMB8,1
SRGN,1
TSC22D1,0
RHOQ,1
PARP9,1
TAP2,1
SQOR,1
CCL1,0
DAPP1,1
RNF213,1
CLIC4,1
GK,1
DUSP5,1
PAK1,1
S100A6,1
DDX21,1
PLAUR,1
IRF1,1
CA2,0
EMP1,1
HERPUD1,1
