Gene,Cluster
WARS,3
TMSB10,1
GBP2,5
SOD2,5
STAT1,5
CCL2,1
IFIT3,2
B2M,1
HLA.B,3
APOL6,5
PLEK,5
ACTG1,3
IFITM2,2
GBP1,0
TAP1,2
ISG15,2
LAP3,2
CD53,5
RAB31,5
TIMP1,5
GBP5,0
TUBA1B,3
NCF1C,2
PSME2,2
MT2A,2
TNFAIP2,2
TNFSF10,2
MTHFD2,5
ISG20,0
VIM,3
PSTPIP2,2
MALAT1,3
LCP1,3
TRIM22,0
CCL5,5
HLA.E,2
CDKN1A,5
CSF2RB,2
PIM1,2
ICAM1,2
CTSS,2
IFI6,0
PSMB9,2
LPCAT2,2
APOL2,2
CXCL10,0
CNDP2,5
LCP2,2
IFIT2,0
TANK,2
FCGR1A,2
SAT1,2
NAMPT,0
FTL,1
PTPRC,2
STK24,2
RTN4,5
TAPBP,2
FAM107B,2
PSMB10,2
PLSCR1,2
TNFSF13B,0
FYB1,2
RALA,2
NCF1,2
GDI2,2
SLC2A3,2
SUCNR1,2
TUBB,5
LACTB,2
SAMD9L,0
PHLDA1,2
ALOX5AP,3
IFI30,0
CEBPB,2
PMAIP1,2
A2M,2
SLC31A2,2
MSRB1,2
PSMB8,2
SRGN,2
TSC22D1,5
RHOQ,2
PARP9,0
TAP2,0
SQOR,2
CCL1,3
DAPP1,0
RNF213,0
CLIC4,0
GK,0
DUSP5,2
PAK1,2
S100A6,2
DDX21,2
PLAUR,0
IRF1,2
CA2,5
EMP1,2
HERPUD1,0
IFITM1,4
CYTOR,0
HMGN3,2
FCGR1B,0
SP110,0
LMNA,2
LITAF,5
EDEM1,2
TUBA1A,5
IFI16,0
SLC7A11,2
PSAT1,0
ATP6V1B2,0
HIF1A,0
ITGB7,0
LYSMD2,0
RPL6,3
GLUL,0
ATP6AP2,5
BHLHE40,2
MALT1,2
SQSTM1,2
PSAP,2
TMEM158,0
BST2,0
TRIB1,2
MB,2
XRN1,0
CD300A,2
CD69,2
ITGAX,2
NRN1,0
DTX3L,0
RGS16,0
STAT2,0
TRIM25,0
FCER1G,3
RPS10,3
