Gene,Cluster
WARS,5
TMSB10,3
GBP2,1
SOD2,1
STAT1,1
CCL2,3
IFIT3,1
B2M,3
HLA.B,5
APOL6,1
PLEK,1
ACTG1,5
IFITM2,2
GBP1,2
TAP1,2
ISG15,2
LAP3,2
CD53,1
RAB31,1
TIMP1,1
GBP5,4
TUBA1B,5
NCF1C,2
PSME2,2
MT2A,2
TNFAIP2,2
TNFSF10,2
MTHFD2,1
ISG20,4
VIM,5
PSTPIP2,2
MALAT1,5
LCP1,5
TRIM22,4
CCL5,1
HLA.E,2
CDKN1A,1
CSF2RB,2
PIM1,2
ICAM1,2
CTSS,2
IFI6,2
PSMB9,2
LPCAT2,2
APOL2,2
CXCL10,4
CNDP2,1
LCP2,1
IFIT2,2
TANK,2
FCGR1A,2
SAT1,2
NAMPT,4
FTL,3
PTPRC,2
STK24,1
RTN4,1
TAPBP,2
FAM107B,2
PSMB10,2
PLSCR1,2
TNFSF13B,4
FYB1,2
RALA,2
NCF1,2
GDI2,2
SLC2A3,2
SUCNR1,1
TUBB,1
LACTB,2
SAMD9L,2
PHLDA1,2
ALOX5AP,5
IFI30,2
CEBPB,2
PMAIP1,2
A2M,2
SLC31A2,2
MSRB1,2
PSMB8,2
SRGN,2
TSC22D1,1
RHOQ,2
PARP9,4
TAP2,4
SQOR,2
CCL1,5
DAPP1,4
RNF213,4
CLIC4,2
GK,4
DUSP5,2
PAK1,2
S100A6,2
DDX21,2
PLAUR,4
IRF1,2
CA2,1
EMP1,2
HERPUD1,4
IFITM1,4
CYTOR,2
HMGN3,2
FCGR1B,4
SP110,4
LMNA,2
LITAF,1
EDEM1,2
TUBA1A,1
IFI16,4
SLC7A11,2
PSAT1,4
ATP6V1B2,2
HIF1A,4
ITGB7,2
LYSMD2,4
RPL6,5
GLUL,4
ATP6AP2,1
BHLHE40,2
MALT1,2
SQSTM1,2
PSAP,2
TMEM158,4
BST2,4
TRIB1,1
MB,2
XRN1,4
CD300A,2
CD69,2
ITGAX,2
NRN1,4
DTX3L,4
RGS16,4
STAT2,4
TRIM25,4
FCER1G,5
RPS10,5
NMI,4
TPM4,4
BCAT1,2
GBP3,4
P2RY14,4
NFKBIA,2
CSTB,1
STAT3,4
SLC16A3,2
ERAP2,4
CXCL8,2
PLP2,1
SMAD3,4
IFI35,4
SLAMF8,4
KDSR,4
CYBB,4
FLNA,4
NAMPTP1,4
ADGRE5,4
ANKRD22,0
DNAJC25.GNG10,4
NPC2,2
GLIPR1,4
ITGB2,1
UBD,0
BCL2A1,4
IDI1,4
CPD,4
SH3BP2,4
MIR4435.2HG,4
GSTO1,4
CCND2,4
OAS3,0
SMAD7,4
NBN,4
PRDX1,5
RGS1,2
TSPAN14,4
H2AFZ,1
ATP6AP1,2
MTND1P23,4
FTH1,3
SLC3A2,4
CHI3L1,2
LTB,4
SOCS1,4
ABHD2,4
SQLE,2
MYADM,0
BHLHE41,4
TMEM109,4
UPP1,4
NOTCH2,4
LAT2,2
IL18BP,4
SNX9,4
ITPR1,4
TIFA,4
IRF9,4
NCOA7,4
ZCCHC2,0
RGCC,4
FURIN,4
NPTN,2
NLRC5,4
DBI,5
ZFP36,4
IGSF6,0
TNF,2
IL1B,4
AHNAK,4
GCLM,4
ANXA1,4
SLC43A2,4
ACSL1,4
SLC5A3,4
CMPK2,0
UCP2,4
FAM129A,4
RPL9P9,5
PTAFR,0
TXNRD1,4
TAGAP,4
AMD1,4
EIF2AK2,4
STK38L,4
CTSB,4
P2RX4,4
GABARAPL1,4
CD274,0
DEK,4
RASSF2,4
MSMO1,4
MREG,4
KRT3,4
HMGCS1,4
SAMHD1,0
MRNIP,2
AIF1,4
TRIM69,4
AHCYL1,4
TNFSF14,0
RPS28P7,1
RILP,0
DDX60L,0
GLRX,4
TGM5,4
MIR155HG,4
B4GALT5,4
RIPK2,0
COX5B,1
CD48,4
FLOT1,4
IL17RA,4
CCR1,0
CERKL,0
NCF2,0
RPL21P16,4
CTSA,4
ADCY7,4
HSPA5,4
FAM225A,0
FES,0
ARAP2,4
RFTN1,4
FBXO6,0
GBP4,0
RAB5IF,4
TGIF2.RAB5IF,4
EGR3,0
TGFBR1,4
SSBP3,0
FABP5,0
SLC15A3,4
CD44,4
JUN,4
ATF5,4
BCL2L11,0
SUN2,4
DDB1,4
TCIRG1,4
SLC7A1,4
SGK1,4
TNS3,0
CD84,4
PPP1R15B,4
NR3C1,4
HNRNPAB,4
CEBPA,4
STARD4,4
CLEC2B,0
